departamento,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
Alta Verapaz,985,1468739605.82,430105221.75,1038634384.07,5418.190016129459,5.500700523989298,683,114,187,1,0.29283967018093143,1,2251301.76,8364.814637087948
Baja Verapaz,388,588097683.73,247205194.04,341345249.29,2538.710578482831,6.543068501244409,149,113,95,31,0.4203471648997239,31,14907679.65,1947.6427788155195
Chimaltenango,1029,1031921267.52,410347151.2,622662787.23,5956.136621807428,5.788276600395946,422,257,286,64,0.3976535459785423,64,26953276.93,6038.2307056601285
Chiquimula,731,905373171.11,307342217.12,598056440.99,4897.905596582242,6.700281253874476,357,255,108,11,0.339464683654359,11,7075634.1899999995,4108.632381494421
El Progreso,462,542763115.38,223608251.25,318904864.13,1967.2453006214294,4.258106711301795,237,116,97,12,0.41198129517966064,12,8411172.030000001,2611.2558967640416
Escuintla,679,1498606883.32,624506629.1,874107115.43,3359.54979736003,4.947790570486053,308,242,124,5,0.41672478356463555,5,6003382.0,3512.147097760217
Guatemala,1413,3748500609.48,1371078467.6200001,2384990169.78,7091.168467050614,5.018519792675594,629,441,304,39,0.3657671721201078,39,19496645.549999997,8690.85241138583
Huehuetenango,1965,1571734612.1,537356711.45,1036800305.92,7670.972633683617,3.903802867014563,1383,179,263,140,0.3418876872171415,140,68639336.56,14509.977388369867
Izabal,350,857906870.99,224109874.21,633796996.78,2687.2134001339805,7.677752571811372,186,106,57,1,0.2612286738668774,1,2232324.0,2404.09115563425
Jalapa,513,623651033.48,222510707.44,401140326.04,3520.5304460443963,6.862632448429622,244,136,121,12,0.3567872022890438,12,2670280.8,3180.892465508157
Jutiapa,1056,1111367187.03,441246781.96,668607306.27,4454.26239834551,4.218051513584763,542,192,296,26,0.3970306007856691,26,13245554.82,7070.808919979529
Multidepartamental Región III,2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,,0,0.0,0.0
Multidepartamental Región IV,2,5500000.0,262139.61,5237860.39,14.780536177961773,7.3902680889808865,1,1,0,0,0.04766174727272727,0,0.0,23.648857884738838
Multidepartamental Región V,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,0,0.0,0.0
Multidepartamental Región VI,3,1800000.0,494450.0,1305550.0,10.44679189701032,3.4822639656701067,2,0,1,0,0.27469444444444446,0,0.0,31.340375691030957
Multiregional - Nacional,19,221061303.0,36194240.2,184867062.8,96.40533295000067,5.073964892105298,15,1,3,0,0.16372942576928537,0,0.0,199.24396277086706
Petén,870,1578978430.2,718709452.1800001,857583782.22,4369.1745630578325,5.022039727652681,351,295,130,94,0.4551736986609534,94,48668519.6,3641.84883788453
Quetzaltenango,1626,933997879.74,319158895.57,615161412.18,6071.707907800052,3.734137704674079,1062,277,243,44,0.341712655342264,44,33636204.339999996,11320.79147062874
Quiché,1448,1432441438.61,471990747.77,964565881.57,8065.98180506506,5.5704294233874725,834,279,324,11,0.32950090317689096,11,4454240.65,10751.761878496804
Retalhuleu,777,349989616.88,90565974.75,259423642.13,2924.3878177075485,3.7636908850805,612,69,95,1,0.25876760447168384,1,89650.0,6477.578404051211
Sacatepéquez,740,825645483.33,345388172.59,479257310.74,3471.021638033448,4.690569781126281,350,248,78,64,0.41832503121918335,64,33917001.26,3265.151136731458
San Marcos,2470,1687326693.72,604867386.71,1083577898.57,9879.169569841572,3.9996637934581263,1597,363,385,125,0.35847674843362226,125,68024105.32,17272.020707129115
Santa Rosa,787,992102288.78,517935697.36,474166591.42,3205.4707726085435,4.0730251240261035,407,192,176,12,0.5220587667395785,12,5313514.7,3821.675451712189
Sololá,1229,710623007.09,327976596.34,383472389.95,3400.423295764243,2.766821233331361,757,240,187,45,0.46153388374387644,45,30286061.24,6637.576778096664
Suchitepéquez,934,796490869.37,263006895.2,534038262.48,4439.025317379878,4.752703765931347,579,183,170,2,0.33020704356351305,2,1617000.0,6649.791399522733
Totonicapán,947,442487752.21,103900853.85,338586898.36,4203.887060782574,4.439162682980543,715,65,149,18,0.23481068872769556,18,12705696.53,8366.14492043032
Zacapa,687,605877252.65,219089167.8,343288084.85,2819.7498421306445,4.104439362635581,416,89,115,67,0.3616065248228791,67,33487890.23,4422.867624120434
